name,path,type,last_activity,reason,action
Dockerfile.modern,Dockerfile.modern,file,2025-06-04T06:10:41.786088,Active in last 90 days,keep
memory_ingest.py,memory_ingest.py,file,2025-06-06T00:58:14.908043,Active in last 90 days,keep
aethero_protocol,aethero_protocol,dir,2025-06-04T06:10:41.789088,Aethero project keyword,keep
aethero_audit_20250605_191336.json,aethero_audit_20250605_191336.json,file,2025-06-06T00:58:14.336043,Aethero project keyword,keep
Aethero_Orchestra,Aethero_Orchestra,dir,2025-06-04T06:10:41.786088,Aethero project keyword,keep
Aethero_App,Aethero_App,dir,2025-06-06T00:58:14.335043,Aethero project keyword,keep
aethero_audit_units_20250605_185811.csv,aethero_audit_units_20250605_185811.csv,file,2025-06-06T00:58:14.348043,Aethero project keyword,keep
aethero_audit_units_20250605_225714.csv,aethero_audit_units_20250605_225714.csv,file,2025-06-06T00:58:14.351043,Aethero project keyword,keep
ultra_prompt.os,ultra_prompt.os,file,2025-06-06T00:58:14.913043,Active in last 90 days,keep
aethero_complete_report_20250602_022027.txt,aethero_complete_report_20250602_022027.txt,file,2025-06-04T06:10:41.787088,Aethero project keyword,keep
memory_viewer.py,memory_viewer.py,file,2025-06-04T06:10:41.790088,Active in last 90 days,keep
autofix_engine.py,autofix_engine.py,file,2025-06-06T00:58:14.903043,Active in last 90 days,keep
aethero_dashboard.py,aethero_dashboard.py,file,2025-06-04T06:10:41.787088,Aethero project keyword,keep
final_prompt.txt,final_prompt.txt,file,2025-06-04T08:34:17.330622,Active in last 90 days,keep
aethero_audit_units_20250602_021854.csv,aethero_audit_units_20250602_021854.csv,file,2025-06-04T06:10:41.787088,Aethero project keyword,keep
memory,memory,dir,2025-06-04T08:34:17.342622,Active in last 90 days,keep
session_log.txt,session_log.txt,file,2025-06-06T00:58:14.912043,Active in last 90 days,keep
.vscode,.vscode,dir,2025-06-04T06:10:41.777088,Active in last 90 days,keep
unittest_report.txt,unittest_report.txt,file,2025-06-06T00:58:14.914043,Aethero project keyword,keep
.vercel,.vercel,dir,2025-06-04T08:46:09.339598,Active in last 90 days,keep
.gitmodules,.gitmodules,file,2025-06-04T06:10:41.777088,Active in last 90 days,keep
aethero_audit_units_20250605_185153.csv,aethero_audit_units_20250605_185153.csv,file,2025-06-06T00:58:14.348043,Aethero project keyword,keep
aethero_audit_units_20250605_191336.csv,aethero_audit_units_20250605_191336.csv,file,2025-06-06T00:58:14.351043,Aethero project keyword,keep
aethero_master_orchestrator.py,aethero_master_orchestrator.py,file,2025-06-04T06:10:41.787088,Aethero project keyword,keep
aethero_audit_20250605_184337.json,aethero_audit_20250605_184337.json,file,2025-06-06T00:58:14.336043,Aethero project keyword,keep
outputs,outputs,dir,2025-06-06T00:58:14.910043,Active in last 90 days,keep
.github,.github,dir,2025-06-06T00:58:14.324043,Active in last 90 days,keep
emergency_deploy.sh,emergency_deploy.sh,file,2025-06-06T00:58:14.906043,Active in last 90 days,keep
prompts,prompts,dir,2025-06-04T06:22:21.001082,Active in last 90 days,keep
unittest_full_report.txt,unittest_full_report.txt,file,2025-06-06T00:58:14.913043,Aethero project keyword,keep
dashboard,dashboard,dir,2025-06-06T00:58:14.904043,Aethero project keyword,keep
aethero_audit_20250605_225714.json,aethero_audit_20250605_225714.json,file,2025-06-06T00:58:14.336043,Aethero project keyword,keep
aethero_audit_20250605_185811.json,aethero_audit_20250605_185811.json,file,2025-06-06T00:58:14.336043,Aethero project keyword,keep
deployment_protocol.md,deployment_protocol.md,file,2025-06-06T00:58:14.904043,Active in last 90 days,keep
